file	stage	ca_distance_2x46_6x37	rmsd_to_native
backrub_kt0.4_nt10000_0.pdb	BackRub	18.002	
backrub_kt0.4_nt10000_1.pdb	BackRub	18.002	
backrub_kt0.4_nt10000_2.pdb	BackRub	18.002	
backrub_kt0.4_nt10000_3.pdb	BackRub	18.076	
backrub_kt0.4_nt10000_4.pdb	BackRub	18.002	
backrub_kt0.4_nt10000_5.pdb	BackRub	18.007	
backrub_kt0.4_nt10000_6.pdb	BackRub	18.002	
backrub_kt0.4_nt10000_7.pdb	BackRub	18.002	
backrub_kt0.4_nt10000_8.pdb	BackRub	18.002	
backrub_kt0.4_nt10000_9.pdb	BackRub	18.002	
backrub_kt0.4_nt1000_0.pdb	BackRub	18.002	
backrub_kt0.4_nt1000_1.pdb	BackRub	18.002	
backrub_kt0.4_nt1000_2.pdb	BackRub	18.002	
backrub_kt0.4_nt1000_3.pdb	BackRub	18.002	
backrub_kt0.4_nt1000_4.pdb	BackRub	18.002	
backrub_kt0.4_nt1000_5.pdb	BackRub	18.002	
backrub_kt0.4_nt1000_6.pdb	BackRub	18.002	
backrub_kt0.4_nt1000_7.pdb	BackRub	18.002	
backrub_kt0.4_nt1000_8.pdb	BackRub	18.002	
backrub_kt0.4_nt1000_9.pdb	BackRub	18.002	
backrub_kt0.4_nt5000_0.pdb	BackRub	18.002	
backrub_kt0.4_nt5000_1.pdb	BackRub	18.002	
backrub_kt0.4_nt5000_2.pdb	BackRub	18.002	
backrub_kt0.4_nt5000_3.pdb	BackRub	18.002	
backrub_kt0.4_nt5000_4.pdb	BackRub	18.002	
backrub_kt0.4_nt5000_5.pdb	BackRub	18.002	
backrub_kt0.4_nt5000_6.pdb	BackRub	18.002	
backrub_kt0.4_nt5000_7.pdb	BackRub	18.002	
backrub_kt0.4_nt5000_8.pdb	BackRub	18.002	
backrub_kt0.4_nt5000_9.pdb	BackRub	18.002	
backrub_kt0.7_nt10000_0.pdb	BackRub	18.002	
backrub_kt0.7_nt10000_1.pdb	BackRub	18.002	
backrub_kt0.7_nt10000_2.pdb	BackRub	18.002	
backrub_kt0.7_nt10000_3.pdb	BackRub	18.002	
backrub_kt0.7_nt10000_4.pdb	BackRub	18.002	
backrub_kt0.7_nt10000_5.pdb	BackRub	18.002	
backrub_kt0.7_nt10000_6.pdb	BackRub	18.002	
backrub_kt0.7_nt10000_7.pdb	BackRub	18.002	
backrub_kt0.7_nt10000_8.pdb	BackRub	18.002	
backrub_kt0.7_nt10000_9.pdb	BackRub	18.002	
backrub_kt0.7_nt1000_0.pdb	BackRub	18.002	
backrub_kt0.7_nt1000_1.pdb	BackRub	18.002	
backrub_kt0.7_nt1000_2.pdb	BackRub	18.002	
backrub_kt0.7_nt1000_3.pdb	BackRub	18.002	
backrub_kt0.7_nt1000_4.pdb	BackRub	18.002	
backrub_kt0.7_nt1000_5.pdb	BackRub	18.002	
backrub_kt0.7_nt1000_6.pdb	BackRub	18.002	
backrub_kt0.7_nt1000_7.pdb	BackRub	18.002	
backrub_kt0.7_nt1000_8.pdb	BackRub	18.002	
backrub_kt0.7_nt1000_9.pdb	BackRub	18.002	
backrub_kt0.7_nt5000_0.pdb	BackRub	18.002	
backrub_kt0.7_nt5000_1.pdb	BackRub	18.002	
backrub_kt0.7_nt5000_2.pdb	BackRub	18.002	
backrub_kt0.7_nt5000_3.pdb	BackRub	18.002	
backrub_kt0.7_nt5000_4.pdb	BackRub	18.002	
backrub_kt0.7_nt5000_5.pdb	BackRub	18.002	
backrub_kt0.7_nt5000_6.pdb	BackRub	18.002	
backrub_kt0.7_nt5000_7.pdb	BackRub	18.002	
backrub_kt0.7_nt5000_8.pdb	BackRub	18.002	
backrub_kt0.7_nt5000_9.pdb	BackRub	18.002	
backrub_kt1.0_nt10000_0.pdb	BackRub	18.002	
backrub_kt1.0_nt10000_1.pdb	BackRub	18.002	
backrub_kt1.0_nt10000_2.pdb	BackRub	18.002	
backrub_kt1.0_nt10000_3.pdb	BackRub	18.002	
backrub_kt1.0_nt10000_4.pdb	BackRub	18.002	
backrub_kt1.0_nt10000_5.pdb	BackRub	18.002	
backrub_kt1.0_nt10000_6.pdb	BackRub	18.002	
backrub_kt1.0_nt10000_7.pdb	BackRub	18.002	
backrub_kt1.0_nt10000_8.pdb	BackRub	18.002	
backrub_kt1.0_nt10000_9.pdb	BackRub	18.002	
backrub_kt1.0_nt1000_0.pdb	BackRub	18.002	
backrub_kt1.0_nt1000_1.pdb	BackRub	18.002	
backrub_kt1.0_nt1000_2.pdb	BackRub	18.002	
backrub_kt1.0_nt1000_3.pdb	BackRub	18.096	
backrub_kt1.0_nt1000_4.pdb	BackRub	18.027	
backrub_kt1.0_nt1000_5.pdb	BackRub	18.002	
backrub_kt1.0_nt1000_6.pdb	BackRub	18.002	
backrub_kt1.0_nt1000_7.pdb	BackRub	18.002	
backrub_kt1.0_nt1000_8.pdb	BackRub	18.002	
backrub_kt1.0_nt1000_9.pdb	BackRub	18.002	
backrub_kt1.0_nt5000_0.pdb	BackRub	18.002	
backrub_kt1.0_nt5000_1.pdb	BackRub	18.003	
backrub_kt1.0_nt5000_2.pdb	BackRub	18.002	
backrub_kt1.0_nt5000_3.pdb	BackRub	18.002	
backrub_kt1.0_nt5000_4.pdb	BackRub	18.002	
backrub_kt1.0_nt5000_5.pdb	BackRub	18.002	
backrub_kt1.0_nt5000_6.pdb	BackRub	18.002	
backrub_kt1.0_nt5000_7.pdb	BackRub	18.002	
backrub_kt1.0_nt5000_8.pdb	BackRub	18.002	
backrub_kt1.0_nt5000_9.pdb	BackRub	18.002	
backrub_kt1.5_nt10000_0.pdb	BackRub	18.002	
backrub_kt1.5_nt10000_1.pdb	BackRub	18.002	
backrub_kt1.5_nt10000_2.pdb	BackRub	18.002	
backrub_kt1.5_nt10000_3.pdb	BackRub	18.002	
backrub_kt1.5_nt10000_4.pdb	BackRub	18.002	
backrub_kt1.5_nt10000_5.pdb	BackRub	18.002	
backrub_kt1.5_nt10000_6.pdb	BackRub	18.002	
backrub_kt1.5_nt10000_7.pdb	BackRub	18.002	
backrub_kt1.5_nt10000_8.pdb	BackRub	18.002	
backrub_kt1.5_nt10000_9.pdb	BackRub	18.002	
backrub_kt1.5_nt1000_0.pdb	BackRub	18.002	
backrub_kt1.5_nt1000_1.pdb	BackRub	18.002	
backrub_kt1.5_nt1000_2.pdb	BackRub	18.002	
backrub_kt1.5_nt1000_3.pdb	BackRub	18.002	
backrub_kt1.5_nt1000_4.pdb	BackRub	18.002	
backrub_kt1.5_nt1000_5.pdb	BackRub	18.002	
backrub_kt1.5_nt1000_6.pdb	BackRub	18.002	
backrub_kt1.5_nt1000_7.pdb	BackRub	18.002	
backrub_kt1.5_nt1000_8.pdb	BackRub	18.002	
backrub_kt1.5_nt1000_9.pdb	BackRub	18.002	
backrub_kt1.5_nt5000_0.pdb	BackRub	18.002	
backrub_kt1.5_nt5000_1.pdb	BackRub	18.002	
backrub_kt1.5_nt5000_2.pdb	BackRub	18.002	
backrub_kt1.5_nt5000_3.pdb	BackRub	18.002	
backrub_kt1.5_nt5000_4.pdb	BackRub	18.002	
backrub_kt1.5_nt5000_5.pdb	BackRub	18.017	
backrub_kt1.5_nt5000_6.pdb	BackRub	18.002	
backrub_kt1.5_nt5000_7.pdb	BackRub	18.002	
backrub_kt1.5_nt5000_8.pdb	BackRub	18.002	
backrub_kt1.5_nt5000_9.pdb	BackRub	18.002	
backrub_test_0.pdb	BackRub	18.002	2.2711
backrub_test_1.pdb	BackRub	18.002	2.2711
relaxed_0.pdb	FastRelax	18.002	2.263457059860229
relaxed_1.pdb	FastRelax	18.348	2.5053768157958984
relaxed_2.pdb	FastRelax	18.212	2.362373113632202
relaxed_3.pdb	FastRelax	17.867	2.36235785484314
relaxed_4.pdb	FastRelax	18.052	2.2598137855529785
